valley,site,tomb,unique_ID,period,sex,probable_sex ,dimorphism_index,age_categ,peri-mortem,#_peri,overkill,anterior/posterior ,facial,facial_sector,parietal,parietal_sector,temporal,temporal_sector,occipital,occipital_sector,ante-mortem,#_ante,anterior/posterior ,facial,facial_sector,parietal,parietal_sector,temporal,temporal_sectr,occipital,sum_traumas,trauma,critical_trauma,AMS Subset,valley,site,tomb,unique_ID,mod_cranium,mod_style,C14_RangeBP,Cal_medianBP,C14_RangeAD,main_period,phase
Aja,Ayaorcco,C3,Cr70,LIP,Male,,15,Middle Adult,Y,1,Y,A,,,X,L,,,,,N,0,,,,,,,,,1,Y,Y,,Tierras Blancas,Ayapata,C2,Cr144,Y,AO,628 - 554    ,608,1322 - 1396,LIP,PIII
Aja,Ayaorcco,C3,Cr71,LIP,Female,,8,Middle Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Tierras Blancas,Ayapata,C2,Cr145,Y,AO,630 - 557      ,608,1320 - 1393,LIP,PIII
Aja,Ayaorcco,C3,Cr72,LIP,Male,,17,Middle Adult,N,0,N,,,,,,,,,,Y,2,A,"X,X","R,R",,,,,,2,Y,N,,Tierras Blancas,Ayapata,C2,Cr151,Y,AO,649 - 564      ,600,1301 - 1386,LIP,PIII
Aja,Ayaorcco,C3,Cr73,LIP,Male,,16,Old Adult,Y,1,N,A,,,X,L,,,,,N,0,,,,,,,,,1,Y,Y,,Tierras Blancas,Ayapata,C2,Cr156,Y,AO,674 - 658    ,666,1276 - 1292,LIP,PII
Aja,Ayaorcco,C3,Cr74,LIP,Male,,16,Middle Adult,N,0,N,,,,,,,,,,Y,1,P,,,X,R,,,,1,Y,N,,Tierras Blancas,Ayapata,C2,158A,NA,NA,661 - 573   ,640,1289 - 1377,LIP,PIII
Aja,Ayaorcco,C3,Cr75,LIP,Ind,,11,Old Adult,N,0,N,,,,,,,,,,Y,1,A,X,R,,,,,,1,Y,N,,Tierras Blancas,Ayapata,C2,158D,NA,NA,681 - 666     ,675,1269 - 1284,LIP,PII
Aja,Ayaorcco,C3,Cr76,LIP,Male,probable ,12,Young Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Tierras Blancas,Ayapata,C2,158H,NA,NA,534 - 517     ,526,1416 - 1433,LIP,PIII
Aja,Ayaorcco,C4,Cr77,LIP,Female,,8,Young Adult,Y,2,Y,P,,,X,L,,,"X,X",,Y,1,P,,,X,R,,,,3,Y,Y,,Tierras Blancas,Ayapata,C2,158J,NA,NA,550 - 536      ,543,1400 - 1414,LIP,PIII
Aja,Ayaorcco,C4,Cr78,LIP,Female,,6,Middle Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Tierras Blancas,Ayapata,C2,158N,NA,NA,673 - 662     ,668,1277 - 1288,LIP,PII
Aja,Ayaorcco,C4,Cr79,LIP,Male,,14,Old Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Tierras Blancas,Ayapata,C3,Cr159,Y,AO,557 - 536 ,549,1393 - 1414,LIP,PIII
